292,54	-0,016
292,91	0,263
293,28	0,107
293,65	0,040
294,02	0,311
294,38	-0,253
294,75	-0,048
295,12	0,382
295,49	0,315
295,86	0,093
296,23	0,043
296,60	0,230
296,96	0,207
297,33	0,215
297,70	0,245
298,07	0,252
298,44	0,116
298,81	-0,070
299,17	0,203
299,54	0,443
299,91	0,133
300,28	0,483
300,65	0,425
301,02	0,442
301,38	0,216
301,75	-0,232
302,12	-0,060
302,49	0,027
302,86	0,223
303,22	0,571
303,59	0,125
303,96	0,441
304,33	0,579
304,69	0,588
305,06	0,444
305,43	0,014
305,80	0,022
306,17	0,003
306,53	0,478
306,90	0,193
307,27	0,217
307,64	0,147
308,00	0,632
308,37	0,469
308,74	0,482
309,11	0,330
309,47	0,230
309,84	0,383
310,21	0,554
310,57	0,165
310,94	0,014
311,31	0,359
311,68	0,091
312,04	0,256
312,41	0,333
312,78	-0,034
313,14	0,017
313,51	0,490
313,88	0,150
314,25	0,141
314,61	-0,014
314,98	0,282
315,35	0,160
315,71	0,241
316,08	0,424
316,45	0,270
316,81	0,362
317,18	0,417
317,55	0,046
317,91	0,507
318,28	0,454
318,65	0,003
319,01	0,148
319,38	0,111
319,75	0,395
320,11	0,216
320,48	0,452
320,84	0,234
321,21	0,356
321,58	0,330
321,94	0,395
322,31	0,305
322,68	0,322
323,04	0,210
323,41	-0,074
323,77	0,413
324,14	0,349
324,51	0,185
324,87	0,303
325,24	0,302
325,60	0,032
325,97	0,364
326,33	0,240
326,70	0,581
327,07	0,031
327,43	0,082
327,80	0,295
328,16	0,314
328,53	-0,049
328,89	0,497
329,26	-0,151
329,63	0,175
329,99	0,518
330,36	0,006
330,72	0,160
331,09	0,056
331,45	0,655
331,82	-0,092
332,18	0,228
332,55	0,137
332,91	0,105
333,28	0,168
333,64	0,387
334,01	0,388
334,37	0,457
334,74	0,208
335,10	-0,311
335,47	0,484
335,83	0,151
336,20	-0,076
336,56	0,369
336,93	0,565
337,29	0,442
337,66	-0,072
338,02	0,264
338,39	-0,145
338,75	0,533
339,12	0,319
339,48	0,069
339,85	-0,299
340,21	0,597
340,57	0,425
340,94	0,439
341,30	0,160
341,67	-0,150
342,03	0,153
342,40	0,045
342,76	0,565
343,13	0,592
343,49	0,386
343,85	0,538
344,22	0,268
344,58	0,723
344,95	0,604
345,31	0,841
345,67	0,444
346,04	0,409
346,40	0,514
346,77	0,583
347,13	0,454
347,49	0,732
347,86	0,177
348,22	0,471
348,58	0,443
348,95	0,364
349,31	0,255
349,68	0,284
350,04	0,741
350,40	0,322
350,77	0,461
351,13	0,800
351,49	0,816
351,86	0,408
352,22	0,484
352,58	0,129
352,95	0,906
353,31	0,918
353,67	0,354
354,04	0,501
354,40	1,024
354,76	0,815
355,13	0,718
355,49	0,939
355,85	1,192
356,21	0,735
356,58	0,799
356,94	0,678
357,30	0,975
357,67	0,967
358,03	1,115
358,39	0,489
358,75	0,871
359,12	1,007
359,48	0,612
359,84	0,706
360,21	1,034
360,57	1,128
360,93	1,073
361,29	1,233
361,66	1,237
362,02	1,427
362,38	0,711
362,74	1,323
363,10	1,770
363,47	1,060
363,83	0,988
364,19	1,108
364,55	1,291
364,92	1,684
365,28	1,683
365,64	1,844
366,00	1,872
366,36	1,306
366,73	2,102
367,09	1,764
367,45	1,437
367,81	1,714
368,17	1,833
368,54	2,017
368,90	2,195
369,26	2,290
369,62	2,296
369,98	2,389
370,34	2,906
370,71	2,427
371,07	2,746
371,43	2,594
371,79	2,584
372,15	2,866
372,51	2,829
372,87	2,869
373,24	3,000
373,60	3,300
373,96	3,216
374,32	3,412
374,68	3,049
375,04	3,184
375,40	3,617
375,76	4,050
376,12	3,289
376,49	3,990
376,85	4,143
377,21	3,847
377,57	3,981
377,93	3,822
378,29	4,389
378,65	4,406
379,01	4,545
379,37	5,073
379,73	5,358
380,09	4,904
380,45	5,328
380,81	5,001
381,18	5,393
381,54	5,207
381,90	5,652
382,26	5,679
382,62	5,765
382,98	5,607
383,34	5,994
383,70	6,008
384,06	6,527
384,42	7,087
384,78	6,420
385,14	6,819
385,50	7,276
385,86	7,110
386,22	7,354
386,58	6,914
386,94	7,499
387,30	7,583
387,66	8,023
388,02	8,130
388,38	8,165
388,74	8,553
389,10	8,639
389,46	8,429
389,82	8,460
390,18	9,317
390,54	9,278
390,90	9,992
391,26	9,574
391,62	9,734
391,97	10,000
392,33	10,288
392,69	10,256
393,05	10,488
393,41	10,971
393,77	10,403
394,13	11,184
394,49	10,793
394,85	10,840
395,21	11,226
395,57	11,008
395,93	11,859
396,29	11,525
396,64	11,777
397,00	12,197
397,36	11,988
397,72	12,194
398,08	12,781
398,44	12,551
398,80	12,772
399,16	13,208
399,51	13,623
399,87	13,099
400,23	13,251
400,59	13,083
400,95	13,337
401,31	14,349
401,67	13,657
402,02	13,239
402,38	14,150
402,74	14,159
403,10	13,931
