227,88	-18,692
228,26	-5,769
228,63	7,395
229,01	7,681
229,38	4,575
229,75	-12,594
230,13	13,703
230,50	-5,239
230,88	-1,307
231,25	-2,330
231,63	3,902
232,00	6,771
232,37	8,415
232,75	0,384
233,12	-1,079
233,49	1,906
233,87	-14,100
234,24	4,215
234,62	3,913
234,99	4,224
235,36	11,180
235,74	10,185
236,11	3,451
236,48	-6,076
236,86	2,610
237,23	-3,321
237,60	0,431
237,98	-1,085
238,35	-1,005
238,73	7,315
239,10	-0,700
239,47	0,435
239,85	7,543
240,22	0,000
240,59	8,072
240,96	0,057
241,34	1,994
241,71	3,199
242,08	6,702
242,46	3,166
242,83	5,422
243,20	6,153
243,58	5,775
243,95	7,365
244,32	4,961
244,70	4,012
245,07	4,196
245,44	10,977
245,81	2,883
246,19	6,167
246,56	4,437
246,93	8,343
247,31	11,169
247,68	5,011
248,05	3,384
248,42	3,113
248,80	5,951
249,17	6,782
249,54	3,001
249,91	3,109
250,29	5,760
250,66	3,536
251,03	3,938
251,40	7,023
251,78	7,343
252,15	1,887
252,52	4,474
252,89	4,140
253,26	2,783
253,64	6,865
254,01	6,538
254,38	5,608
254,75	5,635
255,12	5,236
255,50	3,925
255,87	6,359
256,24	4,694
256,61	7,834
256,98	3,545
257,36	4,783
257,73	4,596
258,10	5,411
258,47	7,636
258,84	5,682
259,22	6,609
259,59	6,698
259,96	5,858
260,33	7,236
260,70	5,780
261,07	4,412
261,45	6,205
261,82	7,149
262,19	5,886
262,56	4,998
262,93	5,127
263,30	1,322
263,67	6,782
264,04	5,749
264,42	5,168
264,79	4,438
265,16	3,946
265,53	5,862
265,90	4,802
266,27	5,419
266,64	3,737
267,01	6,663
267,39	4,988
267,76	5,276
268,13	5,035
268,50	4,907
268,87	5,483
269,24	5,778
269,61	5,559
269,98	6,297
270,35	3,715
270,72	4,082
271,09	4,276
271,46	5,781
271,84	4,330
272,21	5,569
272,58	8,312
272,95	4,620
273,32	3,952
273,69	5,724
274,06	4,101
274,43	4,345
274,80	4,504
275,17	3,930
275,54	3,443
275,91	3,802
276,28	5,841
276,65	5,821
277,02	4,570
277,39	5,373
277,76	5,001
278,13	6,737
278,50	4,472
278,87	4,804
279,24	4,646
279,61	6,531
279,98	4,328
280,35	4,348
280,72	4,925
281,09	3,946
281,46	5,182
281,83	5,569
282,20	4,257
282,57	4,596
282,94	6,450
283,31	7,690
283,68	5,233
284,05	4,869
284,42	3,138
284,79	3,615
285,16	4,515
285,53	5,243
285,90	4,483
286,27	3,759
286,64	3,731
287,00	5,800
287,37	4,045
287,74	5,489
288,11	5,002
288,48	4,271
288,85	5,185
289,22	4,796
289,59	4,542
289,96	4,745
290,33	3,631
290,70	5,274
291,07	4,960
291,43	5,312
291,80	6,421
292,17	4,000
292,54	5,005
292,91	6,393
293,28	6,333
293,65	4,803
294,02	5,160
294,38	4,529
294,75	4,475
295,12	6,452
295,49	3,226
295,86	5,451
296,23	5,991
296,60	4,218
296,96	3,989
297,33	5,213
297,70	5,873
298,07	5,078
298,44	4,923
298,81	5,178
299,17	4,119
299,54	3,922
299,91	5,000
300,28	5,044
300,65	6,012
301,02	5,619
301,38	5,166
301,75	4,547
302,12	5,446
302,49	4,266
302,86	4,419
303,22	4,459
303,59	5,359
303,96	5,242
304,33	5,433
304,69	4,935
305,06	5,288
305,43	4,517
305,80	5,732
306,17	5,306
306,53	5,268
306,90	5,234
307,27	4,745
307,64	4,759
308,00	4,815
308,37	3,881
308,74	5,102
309,11	5,701
309,47	4,710
309,84	4,471
310,21	4,285
310,57	4,621
310,94	5,156
311,31	5,253
311,68	4,946
312,04	4,561
312,41	4,927
312,78	4,614
313,14	4,408
313,51	4,066
313,88	3,340
314,25	3,728
314,61	4,940
314,98	4,311
315,35	4,020
315,71	3,976
316,08	4,656
316,45	4,110
316,81	4,417
317,18	5,104
317,55	4,739
317,91	4,678
318,28	4,232
318,65	5,181
319,01	4,079
319,38	4,769
319,75	4,416
320,11	5,091
320,48	4,948
320,84	4,775
321,21	4,451
321,58	4,978
321,94	4,871
322,31	4,334
322,68	4,398
323,04	4,088
323,41	4,675
323,77	4,345
324,14	4,006
324,51	4,307
324,87	3,871
325,24	3,963
325,60	4,202
325,97	4,577
326,33	4,571
326,70	4,504
327,07	4,728
327,43	4,276
327,80	3,829
328,16	4,573
328,53	5,105
328,89	4,792
329,26	3,994
329,63	4,708
329,99	4,237
330,36	4,354
330,72	4,726
331,09	4,309
331,45	4,350
331,82	4,818
332,18	4,536
332,55	4,365
332,91	4,492
333,28	4,554
333,64	4,242
334,01	4,287
334,37	4,927
334,74	4,630
335,10	4,487
335,47	4,797
335,83	4,307
336,20	4,133
336,56	4,447
